coach_type,phase,section,task
Baggage Van,Completion,BUP,Underframe Equipment-  Coupler Lock
Diner,Completion,BUP,Underframe Equipment-  Coupler Lock
Kitchen,Completion,BUP,Underframe Equipment-  Coupler Lock
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Coupler Lock
Power Car,Completion,BUP,Underframe Equipment-  Coupler Lock
Sitter,Completion,BUP,Underframe Equipment-  Coupler Lock
Sleeper,Completion,BUP,Underframe Equipment-  Coupler Lock
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Coupler Lock
Baggage Van,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
Diner,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
Kitchen,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
Power Car,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
Sitter,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
Sleeper,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Coupler Lock Lifter
Baggage Van,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
Diner,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
Kitchen,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
Power Car,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
Sitter,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
Sleeper,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Lever
Baggage Van,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
Diner,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
Kitchen,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
Power Car,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
Sitter,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
Sleeper,Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Coupler Lock Lifter Pin
Baggage Van,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
Diner,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
Kitchen,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
Power Car,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
Sitter,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
Sleeper,Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Coupler Wearing Plate
Diner,Completion,BUP,Underframe Equipment-  Drawbar
Kitchen,Completion,BUP,Underframe Equipment-  Drawbar
Baggage Van,Completion,BUP,Underframe Equipment-  Rear Yoke
Diner,Completion,BUP,Underframe Equipment-  Rear Yoke
Kitchen,Completion,BUP,Underframe Equipment-  Rear Yoke
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Rear Yoke
Power Car,Completion,BUP,Underframe Equipment-  Rear Yoke
Sitter,Completion,BUP,Underframe Equipment-  Rear Yoke
Sleeper,Completion,BUP,Underframe Equipment-  Rear Yoke
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Rear Yoke
Baggage Van,Completion,BUP,Underframe Equipment-  Side Lever Pin
Diner,Completion,BUP,Underframe Equipment-  Side Lever Pin
Kitchen,Completion,BUP,Underframe Equipment-  Side Lever Pin
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Side Lever Pin
Power Car,Completion,BUP,Underframe Equipment-  Side Lever Pin
Sitter,Completion,BUP,Underframe Equipment-  Side Lever Pin
Sleeper,Completion,BUP,Underframe Equipment-  Side Lever Pin
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Side Lever Pin
Baggage Van,Completion,BUP,Underframe Equipment-  Side Plungers
Diner,Completion,BUP,Underframe Equipment-  Side Plungers
Kitchen,Completion,BUP,Underframe Equipment-  Side Plungers
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment-  Side Plungers
Power Car,Completion,BUP,Underframe Equipment-  Side Plungers
Sitter,Completion,BUP,Underframe Equipment-  Side Plungers
Sleeper,Completion,BUP,Underframe Equipment-  Side Plungers
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment-  Side Plungers
Baggage Van,Completion,BUP,Underframe Equipment- Coupler  Complete
Diner,Completion,BUP,Underframe Equipment- Coupler  Complete
Kitchen,Completion,BUP,Underframe Equipment- Coupler  Complete
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Coupler  Complete
Power Car,Completion,BUP,Underframe Equipment- Coupler  Complete
Sitter,Completion,BUP,Underframe Equipment- Coupler  Complete
Sleeper,Completion,BUP,Underframe Equipment- Coupler  Complete
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Coupler  Complete
Baggage Van,Completion,BUP,Underframe Equipment- Coupler Release Wire
Diner,Completion,BUP,Underframe Equipment- Coupler Release Wire
Kitchen,Completion,BUP,Underframe Equipment- Coupler Release Wire
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Coupler Release Wire
Power Car,Completion,BUP,Underframe Equipment- Coupler Release Wire
Sitter,Completion,BUP,Underframe Equipment- Coupler Release Wire
Sleeper,Completion,BUP,Underframe Equipment- Coupler Release Wire
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Coupler Release Wire
Power Car,Completion,BUP,Underframe Equipment- Diesel Fuel Tanks Including Additional Bracketry
Baggage Van,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
Diner,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
Kitchen,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
Power Car,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
Sitter,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
Sleeper,Completion,BUP,Underframe Equipment- Draw Gear System  Complete
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Draw Gear System  Complete
Baggage Van,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
Diner,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
Kitchen,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
Power Car,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
Sitter,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
Sleeper,Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Fit Vestibule Buffer Rod 
Baggage Van,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
Diner,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
Kitchen,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
Power Car,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
Sitter,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
Sleeper,Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Fit Yoke & Coupler Pin 
Baggage Van,Completion,BUP,Underframe Equipment- Fit Yoke Rubber
Diner,Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
Kitchen,Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
Power Car,Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
Sitter,Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
Sleeper,Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Fit Yoke Rubber (Springs) 
Baggage Van,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Diner,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Kitchen,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Power Car,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Sitter,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Sleeper,Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Fit Yoke Rubber Follower Block 
Power Car,Completion,BUP,Underframe Equipment- Fuel Line Kit
Baggage Van,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
Diner,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
Kitchen,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
Power Car,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
Sitter,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
Sleeper,Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Guide Vestibule Buffer Rod Inner & Outer 
Baggage Van,Completion,BUP,Underframe Equipment- Pull Rod Wheel
Diner,Completion,BUP,Underframe Equipment- Pull Rod Wheel
Kitchen,Completion,BUP,Underframe Equipment- Pull Rod Wheel
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Pull Rod Wheel
Power Car,Completion,BUP,Underframe Equipment- Pull Rod Wheel
Sitter,Completion,BUP,Underframe Equipment- Pull Rod Wheel
Sleeper,Completion,BUP,Underframe Equipment- Pull Rod Wheel
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Pull Rod Wheel
Baggage Van,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
Diner,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
Kitchen,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
Power Car,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
Sitter,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
Sleeper,Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Side Plunger Guide Bracket & Spring
Baggage Van,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
Diner,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
Kitchen,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
KP-1 to Car Carrier,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
Power Car,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
Sitter,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
Sleeper,Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,BUP,Underframe Equipment- Support Brackets & Safety' Loops 
Baggage Van,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Diner,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
Kitchen,Completion,BUP,Underframe Equipment-Fit Vestibule Buffer 
